osm_id,osm_latitude,osm_longitude,osm_name,osm_operator,osm_capacity,osm_fee,osm_sockets
8651235290,-32.9259292,151.7789537,,Chargefox,22,,
8651235291,-32.9259633,151.7789514,,Chargefox,22,,
8714190581,-33.1048978,151.6482486,,Porsche,,,
8911115310,-33.9069877,151.2130127,,Chargefox,,yes,
9204398603,-33.6761456,151.3031101,,Jolt,1,yes,chademo; type2_cable
9215252226,-33.8988886,150.9199428,,Evie Networks,,,chademo; type2_combo
9228911986,-33.8648195,151.2119085,,Bell Resources,,,
9255078725,-31.4071902,152.9007826,Tesla Destination Charger,Tesla,,,
9290610873,-33.8660864,151.0644363,,Jolt,1,,chademo; type2_combo
9290676154,-33.9435652,151.2396953,,Jolt,,,chademo; type2_combo
9290676155,-33.9071444,151.2241142,,Jolt,1,,
9290790988,-33.9080986,151.1716659,,,4,,
9309912420,-33.7054584,150.8754276,,Evie Networks,,,
9347175037,-33.8135004,151.1692687,,Evie Networks,,,
9354339800,-33.9532239,150.8040539,,,,,
9363608762,-33.9320564,151.0301289,,Evie Networks,,,chademo; chademo:output; type2_combo; type2_combo:output
9378951502,-33.871695,151.2681007,,Chargefox,2,yes,type2; type2:current; type2:voltage
9404724469,-33.8872485,151.099324,,Jolt,,,
9408923628,-33.7848221,150.8530426,,,4,no,
9408929771,-33.9522711,150.8557293,,,2,,
9467315676,-34.0338237,151.0734395,Tesla Supercharger,Tesla,6,yes,tesla_supercharger
9481080902,-33.7620853,151.2141725,,Jolt,1,,
9491233549,-33.7537328,151.2869932,,Jolt,1,yes,chademo; type2_cable
9514983917,-33.7698741,150.7291974,,Western Sydney University,2,no,chademo; type2_combo
9521361334,-33.6892385,151.2241781,,Hills Marketplace,2,no,type2_cable; type2_cable:current; type2_cable:output; type2_cable:voltage
9536966801,-33.7780797,151.1206646,,Evie Networks,4,,type2_combo
9546004749,-33.7789889,151.283873,,Jolt,1,yes,chademo; type2_cable
9603490031,-33.9621828,151.063567,,Jolt,1,,
9672846122,-33.8947565,151.1096799,,Jolt,1,,
9704706490,-33.6760959,151.3037838,,Jolt,1,yes,chademo; type2_cable
9712774534,-33.7702608,150.6737814,,Evie Networks,4,,
9737993455,-33.9079872,151.1710728,,Evie Networks,2,yes,
9738285222,-33.873882,151.1019416,,Jolt,1,,
9863000835,-33.8720579,151.0954277,,Jolt,1,,
9863034303,-33.9488297,150.90026,,Evie Networks,2,yes,chademo; type2_combo
9864969279,-33.7666354,151.2644147,Tesla Destination Charger,Warringah Mall,4,no,type2_cable
9898771270,-33.9021318,151.1999188,,AmpCharge,2,yes,
9900811626,-32.1790682,152.5136654,,,,,
9916436896,-33.8093255,151.2088608,,Evie Networks,2,yes,
9953777925,-33.9492389,151.081218,,Jolt,,,
9958152708,-33.8300902,151.0860347,,Chargefox,2,no,type2:output
9965036281,-33.787764,150.9946067,,AmpCharge,,,chademo; type2_combo
9996192046,-33.9701906,151.0801412,,Jolt,1,,
10007469304,-33.8256295,151.0790514,,,3,no,type2; type2:output
10007505419,-33.7296798,151.0065082,Tesla Destination Charger,Tesla,3,no,type2; type2:output
10035347983,-33.7036198,151.2128688,,Evie Networks,,,chademo; type2_combo
10050161556,-33.8359626,151.0848349,,,4,no,type2; type2:output
10091269880,-33.9678598,151.1060452,,Jolt,1,,
10091269881,-33.948437,151.0710625,,Jolt,1,,
10091269882,-33.807399,151.0858151,,Jolt,1,,
10095102213,-33.8130165,151.1694068,Tesla Destination Charger,Tesla,,,
10136616439,-33.7755511,151.1094379,,,6,,type2
10177425298,-33.8140858,151.1706842,,,4,,
10180321115,-33.8848452,151.1492145,,Evie Networks,4,,
10196181562,-33.9815934,151.0815506,,Jolt,1,,
10208698066,-33.8740665,151.1267452,,bp pulse,2,,type2_combo; type2_combo:output
10218282678,-33.9195544,151.0669461,,bp pulse,,yes,chademo; type2_combo
10232012344,-33.3628805,151.4443624,,BP Pulse,,,
10296267794,-34.0678179,150.7889593,,Chargefox,2,no,
10314029528,-34.0678179,150.7889111,,Chargefox,2,no,
10563108217,-34.0532156,150.8236391,,bp pulse,,,type2_combo
10564461448,-32.701433,152.0626879,Tesla Destination Charger,Tesla,2,,
10590006365,-33.8109506,150.8503059,,bp pulse,2,,type2_combo
10607603446,-33.7955368,151.2559187,,bp pulse,2,,
10628109252,-33.9388196,151.0177286,,bp pulse,,,
10647829948,-32.7833007,151.7371187,,BP Pulse,2,,chademo; type2_combo
10652018665,-33.713676,151.298355,,Jolt,1,,
10687053371,-33.6899794,151.1061283,,bp pulse,2,,type2_combo
10708226454,-33.8591188,151.2077898,,City of Sydney,2,,
10720208509,-33.8755065,151.1993723,,NRMA,,,
10750707216,-33.7620961,151.2725439,,Jolt,1,,
10750707217,-33.7194247,151.2986321,,Jolt,1,,
10774220953,-34.0714958,150.8073027,Tesla Supercharger,Tesla,12,,type2_combo; type2_combo:output
10780543260,-33.869384,151.1077617,,Jolt,,,
10783513810,-34.4033184,150.8914532,,bp pulse,,,type2_combo
10807470662,-33.8196728,151.0212095,,bp pulse,4,,type2_combo
10815896313,-33.7309136,150.9735895,Tesla Destination Charger,Tesla,1,,
10815896314,-34.4143916,150.8999909,Tesla Destination Charger,"Tesla, Inc.",4,yes,
10861761260,-33.7452182,150.6104117,Tesla Supercharger,Tesla,6,yes,type2_combo
10863588015,-33.9205413,151.1911399,,Jolt,2,,chademo; type2_combo
10872527226,-33.7955533,151.2559338,,bp pulse,2,,
10895054616,-33.8747893,151.2463108,,Chargefox,,,
10907235224,-33.9161106,151.1729055,,bp pulse,2,,type2_combo
10919805054,-33.9563337,151.2265681,,Jolt,1,,
10924895189,-33.7429956,150.6929513,,AmpCharge,2,yes,chademo; type2_combo
10937312713,-33.9610334,151.2309416,,Jolt,,,
10959087488,-33.9887792,150.8593146,,bp pulse,2,,
10971491088,-33.7505332,151.0650786,,Jolt,1,,
10984470645,-33.7671757,150.9518073,,bp pulse,2,yes,
10992560808,-33.7513075,151.2433755,,Evie Networks,4,yes,
11004256023,-33.8521007,150.9955859,,Evie Networks,2,yes,chademo; type2_combo
11016758544,-33.8885103,151.2375612,,Evie Networks,2,yes,
11048936553,-33.8504225,150.898387,,Engie,2,yes,type2_combo
11079299253,-33.9047467,151.0646034,,AmpCharge,2,yes,
11129535113,-33.4275068,151.3214629,,AmpCharge,,yes,chademo; type2_combo
11135601782,-33.6777006,151.2933539,,Pittwater RSL,,,
11137421689,-34.2818052,150.6399305,,AmpCharge,6,,chademo; chademo:output; type2_combo; type2_combo:output
11137421690,-34.2822929,150.6365233,,AmpCharge,6,,chademo; chademo:output; type2_combo; type2_combo:output
11167384460,-33.6832925,150.9165225,,Jolt,1,,
11189565177,-33.9077366,151.1038722,,,2,,
11258008348,-33.7355105,150.8513323,,Jolt,2,,
11335189892,-33.7655858,150.6218055,,AmpCharge,,,chademo; chademo:output; type2_combo; type2_combo:output
11335199123,-33.7210003,150.4519114,,AmpCharge,2,,chademo; chademo:output; type2_combo; type2_combo:output
11345075655,-34.029301,151.1220937,,Evie Networks,4,yes,
11365136257,-33.775792,150.9330041,,Evie Networks,,,type2_combo
11365173050,-33.7127533,150.9591384,,bp pulse,,,
11365214134,-33.7277947,150.9761633,,Evie Networks,,,chademo; type2_combo
11372241486,-33.7004394,150.9281721,,Jolt,2,,
11419885107,-34.0720222,150.8051711,,Evie Networks,,,chademo; type2_combo
11419886723,-33.9555586,150.8651092,,AmpCharge,,,chademo; type2_combo
11422466181,-33.792786,150.9995054,Woolworths Charging,Chargefox,,,type2; type2_combo
11425340896,-33.745528,150.7408388,,AmpCharge,2,,chademo; type2_combo
11427578131,-33.7435121,150.6922171,,bp pulse,2,,type2_combo
11433418128,-31.4573909,152.8271948,Tesla Supercharger,Tesla,12,,type2_combo
11440214108,-33.7161538,150.8447937,,AmpCharge,2,,chademo; type2_combo
11447868870,-33.814086,151.1724187,,Exploren,1,,
11463047965,-32.9635572,151.6616905,,Evie Networks,4,yes,
11494560491,-32.8119859,151.6394417,BP Pulse,bp pulse,,,
11679262104,-33.5970633,151.3200519,,Jolt,1,,
11689937303,-33.9579982,150.8865473,,Jolt,,,chademo; type2_combo
11695236309,-34.0418122,150.7354796,,Evie Networks,,,chademo; type2_combo
11738297527,-33.8850206,151.2533392,,Chargefox,1,,
11815611441,-33.884478,151.2358502,,Exploren,1,yes,
11842613041,-32.7638346,151.7421054,Tesla Supercharger,Tesla,12,,tesla_supercharger
11842761957,-34.0716189,150.8058677,,Chargefox,4,,chademo; type2
11842876526,-33.8546447,151.07722,Engie,Chargefox,2,,type2_combo
11845737187,-33.8884752,151.2514691,EVlink,EVlink,1,,
11853840472,-33.8845141,151.2373913,EVlink,EVlink,,,
11952634938,-31.9079866,152.4616525,Tesla Supercharger,Tesla,12,yes,type2_combo
11957109508,-33.9296043,150.9553129,,AmpCharge,2,,type2_combo
12015862929,-34.030909,150.8489837,,Evie Networks,,,chademo; type2_combo
12015928951,-33.4812016,150.1362442,,Evie Networks,,yes,chademo; chademo:output; type2_combo; type2_combo:output
12128715250,-33.7417882,151.2140115,,Exploren,1,,
12167440484,-33.6214768,151.1493662,,Chargefox,,,type2_combo
12167451932,-33.4249948,151.3201664,Tesla Supercharger,Tesla,12,,type2_combo
12167732651,-33.8146773,151.1713359,,Exploren,1,,
12202880553,-33.8246416,151.1958182,,EVlink,1,,
12395564018,-33.8817983,151.2282926,,Chargefox,2,yes,
12401912951,-33.907934,151.13603,,EVSE,4,no,type2; type2:output
12401912952,-33.9065093,151.1379558,,Plus ES,1,no,type2; type2:output
12401940007,-33.9029096,151.1418343,,Plus ES,1,no,type2; type2:output
12401940008,-33.9013585,151.13684,,EVSE,2,no,type2; type2:output
12401940009,-33.9016518,151.1393143,,Plus ES,1,no,type2; type2:output
12401940010,-33.9030165,151.1398407,,Plus ES,1,no,type2; type2:output
12401940011,-33.9013026,151.1396074,,Plus ES,1,no,type2; type2:output
12401940012,-33.9001786,151.1400057,,EVSE,2,no,type2; type2:output
12404567155,-33.7206984,150.4297379,,Evie Networks,2,,chademo; type2_combo
12407007682,-33.9024416,151.1409463,,Plus ES,1,no,type2; type2:output
12434721630,-33.9300967,150.8754969,,NRMA,,,
12481649796,-33.4141679,149.5834212,,Evie Networks,4,,chademo; type2_combo
12483992745,-33.5249059,151.3127099,,AGL,,,type2; type2:output
12560173013,-33.9327164,151.0284555,Bankstown Supercharger,Tesla,6,yes,type2_combo
12565112258,-33.7523425,151.286666,Jolt Dee Why B-Line,Jolt,1,yes,
12605963234,-34.0771836,151.0113524,,bp pulse,,,chademo; type2_combo
12624993541,-34.2284569,150.684135,,Chargefox,,,type2_combo
12661943299,-33.4812628,150.1587903,Eskbank St Car Park,NRMA,4,yes,chademo; type2_combo
12686156645,-34.0496546,150.7599688,,Shell Recharge Solutions,,,type2:output; type2_combo
12753915088,-31.634282,152.7251475,Kew Supercharger,Tesla,8,yes,type2_combo
12757295582,-34.0440001,150.7371231,,Exploren,2,yes,type2
12816207122,-33.6512481,151.28942,,Seavolt,,,
12896497308,-33.8237748,151.1951179,,Evie Networks,,,
